,index,Company Name,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,Executive Gender,Executive Ethnicity,County,Neighborhood,SIC Code 1,SIC Code 1 Description,Primary NAICS,Primary NAICS Description,Location Employee Size Range,Location Employee Size Actual,Location Sales Volume Range,Location Sales Volume Actual,Type of Business,Location Type,Square Footage,Credit Score Alpha,Credit Score Numeric ,Rent Expenses,Latitude,Longitude,Record Type,Rent per Square Foot
2209,3411,Louis Family Taxi Inc,Jean,Louis,60 Fairlawn Ave # 8,Mattapan,MA,2126,Female,Western Europe,Suffolk,Southern Mattapan,412101,Taxicabs & Transportation Service,485310,Taxi Service,10 to 19,12,"$500,000-1 Million","$807,000",Private,Single Loc,14999.5,C+,76,75000.0,42.2687,-71.09995500000001,Verified,5.0
2210,3412,Loulee's Beauty Salon,Loulee,Morrison,1353 Blue Hill Ave,Mattapan,MA,2126,Female,Western Europe,Suffolk,Wellington Hill,723106,Beauty Salons,812112,Beauty Salons,1 to 4,3,"Less Than $500,000","$170,000",Private,Single Loc,750.0,B+,89,5000.0,42.277667,-71.093761,Verified,6.67
2211,3413,Lowe Plumbing & Heating,Eugene,Lowe,90 W Cottage St # 5,Dorchester,MA,2125,Male,Western Europe,Suffolk,Dudley-Brunswick King,171105,Plumbing Contractors,238220,Plumbing Htg & Air-Conditioning Contractors,5 to 9,6,$1-2.5 Million,"$1,286,000",Private,Single Loc,1999.5,B+,89,5000.0,42.320423,-71.07677,Verified,2.5
2212,3414,Lowell Bowler Golden Rule,,,978 Dorchester Ave,Dorchester,MA,2125,,Uncoded,Suffolk,Columbia Point,152139,Remodeling & Repairing Bldg Contractors,236118,Residential Remodelers,5 to 9,5,$2.5-5 Million,"$2,986,000",Private,Single Loc,3749.5,B+,85,37500.0,42.317322999999995,-71.056472,Verified,10.0
2213,3416,Lower Mills Housing Corp,,,2262 Dorchester Ave,Dorchester,MA,2124,,Uncoded,Suffolk,Lower East Mills-Cedar Grove,653132,Housing Authorities,531311,Residential Property Managers,10 to 19,15,,$0,Private,Single Loc,69999.5,I,86,75000.0,42.272936,-71.067144,Verified,1.07
2214,3417,Loyal Companion,,,5 District Ave,Dorchester,MA,2125,,Uncoded,Suffolk,,599930,Pet Shops,453910,Pet & Pet Supplies Stores,1 to 4,2,"$500,000-1 Million","$568,000",Private,Single Loc,1999.5,U,65,5000.0,42.325786,-71.062832,Verified,2.5
2215,3418,LSG Sky Chefs Inc,,,160 William F Mcclellan Hwy,East Boston,MA,2128,,Uncoded,Suffolk,Harbor View-Orient Heights,581212,Caterers,722320,Caterers,100 to 249,150,$10-20 Million,"$11,199,000",Private,Branch,100000.0,A+,96,500000.0,42.385389,-71.021086,Verified,5.0
2216,3419,Luc Customz,Channele,Benson,42 Erie St,Dorchester,MA,2121,Male,Western Europe,Suffolk,Franklin Field North,599999,Miscellaneous Retail Stores NEC,453998,All Other Misc Store Retailers (Exc Tobacco Strs),20 to 49,23,$5-10 Million,"$6,521,000",Private,Single Loc,29999.5,B,80,75000.0,42.302548,-71.079735,Verified,2.5
2217,3420,Luca Sign,Le,Hung,1286 Dorchester Ave,Dorchester,MA,2122,Male,Far Eastern,Suffolk,Meeting House Hill,738938,Signs-Maintenance & Repairing,541890,Other Services Related To Advertising,1 to 4,1,"Less Than $500,000","$144,000",Private,Single Loc,1999.5,C+,76,5000.0,42.30664,-71.05850600000001,Verified,2.5
2218,3425,Lucky Boston Chinese Rstrnt,Ann,To,3096 Washington St,Roxbury,MA,2119,Female,Far Eastern,Suffolk,Egleston Square,581208,Restaurants,722511,Full-Service Restaurants,1 to 4,4,"Less Than $500,000","$299,000",Private,Single Loc,750.0,A,91,17500.0,42.315063,-71.09876700000001,Verified,23.33
2219,3426,Lucky Cafe,Doung,Luc,1107 Dorchester Ave,Dorchester,MA,2125,Male,Far Eastern,Suffolk,Columbia Point,581208,Restaurants,722511,Full-Service Restaurants,5 to 9,8,"$500,000-1 Million","$598,000",Private,Single Loc,1999.5,A,92,37500.0,42.312732000000004,-71.05746500000001,Verified,18.75
2220,3427,Lucky One Restaurant Inc,Chong M,Zhao,746 Dudley St,Dorchester,MA,2125,,Far Eastern,Suffolk,Uphams Corner-Jones Hill,581208,Restaurants,722511,Full-Service Restaurants,5 to 9,8,"$500,000-1 Million","$598,000",Private,Single Loc,1999.5,C+,78,37500.0,42.317921999999996,-71.066591,Verified,18.75
2221,3428,Lucy's American Tavern,,,13 Granite Ave,Dorchester,MA,2124,,Uncoded,Suffolk,,581208,Restaurants,722511,Full-Service Restaurants,5 to 9,8,"$500,000-1 Million","$598,000",Private,Single Loc,3749.5,B+,86,17500.0,42.284396,-71.080951,Verified,4.67
2222,3429,Lufthansa Air Maintenance,,,500 Terminal E # 18,East Boston,MA,2128,,Uncoded,Suffolk,,154227,Maintenance Contractors,236220,Commercial & Institutional Building Construction,5 to 9,7,$2.5-5 Million,"$4,180,000",Private,Branch,29999.5,B+,88,37500.0,42.369921000000005,-71.019449,Verified,1.25
2223,3430,Lufthansa Cargo,Lenny,Torto,112 Harborside Dr # 62,East Boston,MA,2128,Male,Mediterranean,Suffolk,Jeffries Point,451202,Air Cargo Service,481112,Scheduled Freight Air Transportation,20 to 49,23,$10-20 Million,"$18,942,000",Private,Branch,100000.0,A+,95,375000.0,42.358867,-71.024737,Verified,3.75
2224,3434,Luigi Plaster Co,Luigi,Azzarello,217 Webster St,East Boston,MA,2128,Male,Mediterranean,Suffolk,Jeffries Point,174206,Plastering Contractors,238310,Drywall & Insulation Contractors,5 to 9,5,$1-2.5 Million,"$1,072,000",Private,Single Loc,1999.5,A,90,5000.0,42.364807,-71.033102,Verified,2.5
2225,3435,Luis Barber Shop,Luis M,Inca,553 Dudley St,Roxbury,MA,2119,Male,Hispanic,Suffolk,Dudley-Brunswick King,724101,Barbers,812111,Barber Shops,1 to 4,2,"Less Than $500,000","$74,000",Private,Single Loc,750.0,B,80,5000.0,42.321427,-71.07243100000001,Verified,6.67
2226,3436,Luizinha's Hair,,,932 Dorchester Ave,Dorchester,MA,2125,,Uncoded,Suffolk,Columbia Point,723106,Beauty Salons,812112,Beauty Salons,1 to 4,3,"Less Than $500,000","$170,000",Private,Single Loc,1999.5,B+,85,5000.0,42.319052,-71.056496,Verified,2.5
2227,3437,Lulu's Hair Salon,,,240 Blue Hill Ave,Roxbury,MA,2119,,Uncoded,Suffolk,Dudley-Brunswick King,723106,Beauty Salons,812112,Beauty Salons,1 to 4,3,"Less Than $500,000","$170,000",Private,Single Loc,750.0,B+,86,5000.0,42.316421999999996,-71.077872,Verified,6.67
2228,3438,Lun Fat,Rich Q,Chen,90 Newmarket Sq,Roxbury,MA,2118,Male,Far Eastern,Suffolk,Columbia Point,514801,Fruits & Vegetables-Wholesale,424480,Fresh Fruit & Vegetable Merchant Wholesalers,20 to 49,31,$20-50 Million,"$42,385,000",Private,Single Loc,69999.5,A+,100,175000.0,42.329597,-71.06773000000001,Verified,2.5
2229,3439,Luna Fitness Club,,,735 William T Morrissey Blv #7,Dorchester,MA,2122,,,Suffolk,Neponset,799112,Health & Fitness Center Management,713940,Fitness & Recreational Sports Centers,1 to 4,1,"Less Than $500,000","$50,000",Private,Single Loc,7499.5,C+,78,17500.0,42.295424,-71.048886,Verified,2.33
2230,3440,Luna's Italian & Latin Cuisine,Ever A,Gomez-Medina,945 Saratoga St,East Boston,MA,2128,Female,Hispanic,Suffolk,Harbor View-Orient Heights,581208,Restaurants,722511,Full-Service Restaurants,5 to 9,8,"$500,000-1 Million","$598,000",Private,Single Loc,1999.5,B+,88,37500.0,42.38657,-71.009152,Verified,18.75
2231,3445,Luxury Body Inc,,,118 Quincy St,Dorchester,MA,2121,,Uncoded,Suffolk,Dudley-Brunswick King,753201,Automobile Body-Repairing & Painting,811121,"Automotive Body, Paint & Interior Repair/Maint",1 to 4,4,"$500,000-1 Million","$660,000",Private,Single Loc,750.0,B,81,5000.0,42.314209000000005,-71.077074,Verified,6.67
2232,3446,LVP Party Creations,,,170 Norfolk St,Dorchester,MA,2124,,Uncoded,Suffolk,West Codman Hill-West Lower Mills,596301,Party Planning Service,454390,Other Direct Selling Establishments,1 to 4,4,"Less Than $500,000","$340,000",Private,Single Loc,1999.5,U,68,5000.0,42.286777,-71.07889200000001,Verified,2.5
2233,3447,Lynch's Everyday,Mohmad,Uddin,626 Adams St,Dorchester,MA,2122,Male,Middle Eastern,Suffolk,Neponset,541103,Convenience Stores,445120,Convenience Stores,1 to 4,2,"Less Than $500,000","$384,000",Private,Single Loc,3749.5,B,83,5000.0,42.288433000000005,-71.05528199999999,Verified,1.33
2234,3449,Lynn's Spa,Linh,Le,748 Adams St,Dorchester,MA,2122,Female,Far Eastern,Suffolk,Neponset,723106,Beauty Salons,812112,Beauty Salons,1 to 4,3,"Less Than $500,000","$170,000",Private,Single Loc,750.0,B+,87,5000.0,42.28412,-71.055378,Verified,6.67
2235,3450,Lynne Liquid,,,1445 Dorchester Ave,Dorchester,MA,2122,,Uncoded,Suffolk,Meeting House Hill,592102,Liquors-Retail,445310,"Beer, Wine & Liquor Stores",1 to 4,4,$1-2.5 Million,"$1,044,000",Private,Single Loc,1999.5,B,81,17500.0,42.301234,-71.060069,Verified,8.75
2236,3452,M & L Autobody Repair,,,286 Adams St,Dorchester,MA,2122,,Uncoded,Suffolk,Fields Corner East,753801,Automobile Repairing & Service,811111,General Automotive Repair,1 to 4,2,"Less Than $500,000","$269,000",Private,Single Loc,1999.5,B,80,17500.0,42.299707,-71.058021,Verified,8.75
2237,3453,M & Q Hardwood Floor,Quang M,Phan,47 Msgr Patrick J Lydon Way,Dorchester,MA,2124,Male,Far Eastern,Suffolk,,242604,Hardwood Flooring (Mfrs),321918,Other Millwork (Including Flooring),1 to 4,1,"Less Than $500,000","$113,000",Private,Single Loc,1999.5,C,73,5000.0,42.288623,-71.060823,Verified,2.5
2238,3454,M & R,Bissal,Suwal,718 Shawmut Ave,Roxbury,MA,2119,Female,Uncoded,Suffolk,Lower Roxbury,541103,Convenience Stores,445120,Convenience Stores,1 to 4,2,"Less Than $500,000","$384,000",Private,Single Loc,1999.5,B,80,5000.0,42.333006,-71.083012,Verified,2.5
2239,3455,M & S Repair & Autobody,Sandro,Junkovic,150 Freeport St,Dorchester,MA,2122,Male,Eastern European,Suffolk,Columbia Point,753201,Automobile Body-Repairing & Painting,811121,"Automotive Body, Paint & Interior Repair/Maint",10 to 19,10,$1-2.5 Million,"$1,650,000",Private,Single Loc,7499.5,A,91,37500.0,42.305787,-71.055555,Verified,5.0
2240,3457,M J S Investing,Michael J,Scaroa,40 Frankfort St,East Boston,MA,2128,Male,Mediterranean,Suffolk,Jeffries Point,621111,Investments,523910,Miscellaneous Intermediation,10 to 19,12,$10-20 Million,"$11,304,000",Private,Single Loc,29999.5,C+,78,75000.0,42.369871,-71.035264,Verified,2.5
2241,3458,M M Reif LTD,Sidney,Miller,850 Albany St,Roxbury,MA,2119,Male,Western Europe,Suffolk,Lower Roxbury,399903,Manufacturers,339999,All Other Miscellaneous Manufacturing,20 to 49,30,$2.5-5 Million,"$3,161,000",Private,Single Loc,69999.5,A,91,37500.0,42.331621000000005,-71.07593,Verified,0.54
2242,3459,M Madden Construction Inc,Ed,Madden,291 Norfolk St,Dorchester,MA,2124,Male,Western Europe,Suffolk,Franklin Field South,152144,Construction Companies,236115,New Single-Family Hsng Constr (Exc For-Sale Bldrs),10 to 19,15,$5-10 Million,"$8,957,000",Private,Single Loc,7499.5,A,91,175000.0,42.284069,-71.082624,Verified,23.33
2243,3460,M O V E Today,Jeffrey,Pereira,11 Olney St,Dorchester,MA,2121,Male,Hispanic,Suffolk,,799106,Personal Trainers-Fitness,713940,Fitness & Recreational Sports Centers,1 to 4,1,"Less Than $500,000","$50,000",Private,Single Loc,1999.5,C,70,5000.0,42.305518,-71.068832,Verified,2.5
2244,3461,M P A Construction,Marek,Pelczar,16 Crescent Ave,Dorchester,MA,2125,Male,Eastern European,Suffolk,,152144,Construction Companies,236115,New Single-Family Hsng Constr (Exc For-Sale Bldrs),5 to 9,5,$2.5-5 Million,"$2,986,000",Private,Single Loc,1999.5,B,80,5000.0,42.319041999999996,-71.05585500000001,Verified,2.5
2245,3462,M P Barbershop,,,128 Harvard St,Dorchester,MA,2124,,Uncoded,Suffolk,Franklin Field North,724101,Barbers,812111,Barber Shops,1 to 4,2,"Less Than $500,000","$74,000",Private,Single Loc,1999.5,B,80,5000.0,42.296447,-71.079651,Verified,2.5
2246,3463,M Power Inc,Ruthie,Poole,98 Magazine St,Roxbury,MA,2119,Female,Western Europe,Suffolk,,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,20 to 49,22,$1-2.5 Million,"$1,095,000",Private,Single Loc,69999.5,A,90,75000.0,42.327047,-71.070961,Verified,1.07
2247,3464,M S C Travel,,,990 Dorchester Ave,Dorchester,MA,2125,,Uncoded,Suffolk,Columbia Point,472402,Travel Agencies & Bureaus,561510,Travel Agencies,1 to 4,3,"$500,000-1 Million","$807,000",Private,Single Loc,3749.5,B,80,5000.0,42.316789,-71.056525,Verified,1.33
2248,3465,M Susi & Sons Inc,Mario,Susi,27 Westwood St,Dorchester,MA,2121,Male,Pacific Islander,Suffolk,,152103,General Contractors,236115,New Single-Family Hsng Constr (Exc For-Sale Bldrs),50 to 99,55,$20-50 Million,"$32,841,000",Private,Single Loc,29999.5,A,91,75000.0,42.310043,-71.082957,Verified,2.5
2249,3466,M United Hardwood Floor Inc,Santos,Sanchez Gonzal,341 Chelsea St # 1r,East Boston,MA,2128,Male,Hispanic,Suffolk,Central Maverick Square-Paris Street,242604,Hardwood Flooring (Mfrs),321918,Other Millwork (Including Flooring),1 to 4,1,"Less Than $500,000","$113,000",Private,Single Loc,3749.5,C,73,17500.0,42.377963,-71.029129,Verified,4.67
2250,3467,M V Alpha Tile Corp,Melvin I,Ochoa Flores,358 Chelsea St,East Boston,MA,2128,Male,Hispanic,Suffolk,,174301,Tile-Ceramic-Contractors & Dealers,238340,Tile & Terrazzo Contractors,5 to 9,7,$1-2.5 Million,"$1,501,000",Private,Single Loc,1999.5,B,80,5000.0,42.378099,-71.02946700000001,Verified,2.5
2251,3468,M V Automobile,,,,Dorchester,MA,2124,,Uncoded,Suffolk,,753801,Automobile Repairing & Service,811111,General Automotive Repair,1 to 4,2,"Less Than $500,000","$269,000",Private,Single Loc,750.0,B,81,5000.0,42.284396,-71.080951,Verified,6.67
2252,3469,M V Cosmetics,,,200 Adams St,Dorchester,MA,2122,,Uncoded,Suffolk,Meeting House Hill,599992,Cosmetics & Perfumes-Retail,446120,"Cosmetics, Beauty Supplies & Perfume Stores",1 to 4,3,"$500,000-1 Million","$851,000",Private,Single Loc,3749.5,C+,78,17500.0,42.302131,-71.05989699999999,Verified,4.67
2253,3470,M V Petroleum,Matthew M,Ivil,785 Tremont St,Roxbury,MA,2118,Male,Uncoded,Suffolk,Lower Roxbury,554101,Service Stations-Gasoline & Oil,447190,Other Gasoline Stations,1 to 4,3,$2.5-5 Million,"$3,672,000",Private,Single Loc,750.0,B+,88,37500.0,42.339228999999996,-71.08121899999999,Verified,50.0
2254,3471,Ma Association Minority Law,Larry,Ellison,61 Columbia Rd,Dorchester,MA,2121,Male,Western Europe,Suffolk,Franklin Field North,861102,Associations,813910,Business Associations,1 to 4,1,,$0,Private,Single Loc,3749.5,I,76,5000.0,42.303844,-71.08223199999999,Verified,1.33
2255,3472,Ma International,C,MA,194 Sydney St # 2,Dorchester,MA,2125,Male,Far Eastern,Suffolk,,829929,Educational Service-Business,611710,Educational Support Services,1 to 4,1,,$0,Private,Single Loc,1999.5,U,68,5000.0,42.318774,-71.052679,Verified,2.5
2256,3473,Ma Siss's Place,Ideane,Richardson,266 Quincy St,Dorchester,MA,2125,Female,Western Europe,Suffolk,Uphams Corner-Jones Hill,729923,Consumer Organizations,812990,All Other Personal Services,1 to 4,2,"Less Than $500,000","$107,000",Private,Single Loc,750.0,C+,78,5000.0,42.311986,-71.071326,Verified,6.67
2257,3474,Maaco,Brian,Lebo,1030 William T Morrissey Blvd,Dorchester,MA,2122,Male,Mediterranean,Suffolk,Neponset,753201,Automobile Body-Repairing & Painting,811121,"Automotive Body, Paint & Interior Repair/Maint",10 to 19,16,$2.5-5 Million,"$2,639,000",Private,Branch,3749.5,A+,97,175000.0,42.290201,-71.04455300000001,Verified,46.67
2258,3476,Maass Taxi Svc,Abdellah,Habbach,175 William F Mcclellan Hwy,East Boston,MA,2128,Male,Western Europe,Suffolk,Harbor View-Orient Heights,412101,Taxicabs & Transportation Service,485310,Taxi Service,10 to 19,12,"$500,000-1 Million","$807,000",Private,Single Loc,69999.5,B,81,37500.0,42.386221,-71.01860500000001,Verified,0.54
2259,3477,Mabruuk Fashion,Hassan,Issak,37 Roxbury St,Roxbury,MA,2119,Male,Middle Eastern,Suffolk,Lower Roxbury,565101,Clothing-Retail,448140,Family Clothing Stores,5 to 9,9,"Less Than $500,000","$200,000",Private,Single Loc,3749.5,B+,85,5000.0,42.329699,-71.085421,Verified,1.33
2260,3480,Maca Repair,Martin,Guerrero-Diaz,150 Southampton St,Roxbury,MA,2118,Male,Hispanic,Suffolk,Columbia Point,753801,Automobile Repairing & Service,811111,General Automotive Repair,1 to 4,2,"Less Than $500,000","$269,000",Private,Single Loc,750.0,C,70,37500.0,42.331765999999995,-71.06765,Verified,50.0
2261,3481,Macedo Janitorial,Carlos,Macedo,75 Christopher St # 200,Dorchester,MA,2122,Male,Hispanic,Suffolk,Fields Corner East,734902,Janitor Service,561720,Janitorial Services,10 to 19,15,$1-2.5 Million,"$1,984,000",Private,Single Loc,14999.5,A,91,37500.0,42.298790999999994,-71.05686,Verified,2.5
2262,3484,Mackenzie Udoji Ins Agcy Inc,Glenn L,Mackenzie,771 Adams St,Dorchester,MA,2122,Male,Western Europe,Suffolk,Ashmont,641112,Insurance,524210,Insurance Agencies & Brokerages,1 to 4,2,"Less Than $500,000","$451,000",Private,Single Loc,3749.5,A,93,5000.0,42.283718,-71.05584499999999,Verified,1.33
2263,3485,Mackies Barber Shop Milton Ma,Marianne,Colligan,20 Central Ave,Mattapan,MA,2126,Female,Western Europe,Suffolk,,724101,Barbers,812111,Barber Shops,5 to 9,5,"Less Than $500,000","$185,000",Private,Single Loc,1999.5,A,91,5000.0,42.271854,-71.072479,Verified,2.5
2264,3488,Mad Rags,Toquan,Edwards,221 Border St,East Boston,MA,2128,Male,Western Europe,Suffolk,Central Square,565101,Clothing-Retail,448140,Family Clothing Stores,1 to 4,3,"$500,000-1 Million","$599,000",Private,Single Loc,3749.5,C+,78,37500.0,42.375827,-71.039573,Verified,10.0
2265,3489,Madina,Mariama,Diakhaby,1127 Harrison Ave,Roxbury,MA,2119,Female,African American,Suffolk,,599999,Miscellaneous Retail Stores NEC,453998,All Other Misc Store Retailers (Exc Tobacco Strs),20 to 49,23,$5-10 Million,"$6,521,000",Private,Single Loc,100000.0,B,83,175000.0,42.330546999999996,-71.082227,Verified,1.75
2266,3490,Madison Lic,,,2101 Washington St,Roxbury,MA,2119,,Uncoded,Suffolk,,839919,Charitable Institutions,813311,Human Rights Organizations,1 to 4,4,,$0,Private,Single Loc,3749.5,I,76,17500.0,42.325124,-71.084757,Verified,4.67
2267,3491,Madison Park Development Corp,Jeanne,Pinado,184 Dudley St # 102,Roxbury,MA,2119,Female,Uncoded,Suffolk,Lower Roxbury,653113,Real Estate-Rental Service,531210,Offices Of Real Estate Agents & Brokers,10 to 19,14,$2.5-5 Million,"$2,560,000",Private,Single Loc,69999.5,A,90,37500.0,42.328316,-71.08140300000001,Verified,0.54
2268,3492,Madison Park Development Corp,Jeanne,Pinado,2201 Washington St,Roxbury,MA,2119,Female,Uncoded,Suffolk,,653113,Real Estate-Rental Service,531210,Offices Of Real Estate Agents & Brokers,1 to 4,4,"$500,000-1 Million","$732,000",Private,Single Loc,7499.5,B+,85,17500.0,42.331152,-71.083218,Verified,2.33
2269,3493,Madrag,,,452 Blue Hill Ave,Dorchester,MA,2121,,Uncoded,Suffolk,,565101,Clothing-Retail,448140,Family Clothing Stores,1 to 4,3,"$500,000-1 Million","$599,000",Private,Single Loc,3749.5,C,73,17500.0,42.310043,-71.082957,Verified,4.67
2270,3494,Madrid Cleaning Svc LLC,Cesar,Jones,132 Stanwood St,Dorchester,MA,2121,Male,Western Europe,Suffolk,Dudley-Brunswick King,172101,Painters,238320,Painting & Wall Covering Contractors,5 to 9,5,$1-2.5 Million,"$1,072,000",Private,Single Loc,1999.5,C,73,5000.0,42.307978999999996,-71.077745,Verified,2.5
2271,3496,Magic Manicube,Han,Nguyen,5 Linda Ln,Dorchester,MA,2125,Male,Far Eastern,Suffolk,Columbia Point,723102,Manicuring,812113,Nail Salons,1 to 4,3,"Less Than $500,000","$170,000",Private,Single Loc,750.0,C,73,5000.0,42.312169,-71.051252,Verified,6.67
2272,3497,Magic Shears Unisex Hair Salon,Clyde,Coburn,1584 Columbus Ave,Roxbury,MA,2119,Male,Western Europe,Suffolk,Washington Park,724101,Barbers,812111,Barber Shops,1 to 4,1,"Less Than $500,000","$37,000",Private,Single Loc,750.0,B,83,5000.0,42.322174,-71.098129,Verified,6.67
2273,3498,Magic Wok,Ghelin,Jou,1512a Dorchester Ave,Dorchester,MA,2122,Male,Far Eastern,Suffolk,Fields Corner East,581208,Restaurants,722511,Full-Service Restaurants,1 to 4,3,"Less Than $500,000","$224,000",Private,Single Loc,1999.5,B+,89,5000.0,42.29911,-71.060343,Verified,2.5
2274,3499,Magicall Wireless,Kenol,Petion,1154 Blue Hill Ave,Dorchester,MA,2124,Male,Western Europe,Suffolk,Franklin Field South,481207,Cellular Telephones (Services),517312,Wireless Telecomms Carriers (Except Satellite),1 to 4,2,$2.5-5 Million,"$2,508,000",Private,Single Loc,1999.5,U,66,175000.0,42.285227,-71.09083100000001,Verified,87.52
2275,3500,Magna Wireless LLC Lic,,,1340a Blue Hill Ave,Mattapan,MA,2126,,Uncoded,Suffolk,Wellington Hill,481207,Cellular Telephones (Services),517312,Wireless Telecomms Carriers (Except Satellite),1 to 4,3,$2.5-5 Million,"$3,762,000",Private,Single Loc,1999.5,C,73,5000.0,42.277937,-71.093151,Verified,2.5
2276,3504,Make It Personal Designs,Lisa,Martin,6b Herman St,Roxbury,MA,2119,Female,Western Europe,Suffolk,Washington Park,729999,Miscellaneous Personal Services NEC,812990,All Other Personal Services,1 to 4,1,"Less Than $500,000","$54,000",Private,Single Loc,750.0,C,73,5000.0,42.324011999999996,-71.08606999999999,Verified,6.67
2277,3505,Makini Health,Nevwon,Muriithi,2 Neptune Rd # 458,East Boston,MA,2128,Male,Uncoded,Suffolk,Harbor View-Orient Heights,809907,Health Services,621999,All Other Misc Ambulatory Health Care Services,10 to 19,10,$1-2.5 Million,"$2,172,000",Private,Single Loc,29999.5,B,82,175000.0,42.380275,-71.025438,Verified,5.83
2278,3506,Makkah For Hajj Umrah Inc,Siham,Satmi,175 William F Mcclellan Hwy,East Boston,MA,2128,Male,Middle Eastern,Suffolk,Harbor View-Orient Heights,899999,Services NEC,541990,"All Other Professional, Scientific/Technical Svcs",1 to 4,3,"Less Than $500,000","$435,000",Private,Single Loc,3749.5,C,71,17500.0,42.386221,-71.01860500000001,Verified,4.67
2279,3507,Maloney Properties,,,278 Humboldt Ave # D,Dorchester,MA,2121,,Uncoded,Suffolk,Washington Park,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,7499.5,A+,95,37500.0,42.310323,-71.091401,Verified,5.0
2280,3508,Maloney Properties,,,6222 Dudley St,Dorchester,MA,2125,,Uncoded,Suffolk,,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,3749.5,A+,95,17500.0,42.314908,-71.061086,Verified,4.67
2281,3509,Maloney Properties Inc,,,35 Tuttle St,Dorchester,MA,2125,,Uncoded,Suffolk,Columbia Point,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,3749.5,A+,95,17500.0,42.312975,-71.053573,Verified,4.67
2282,3510,Maloney Properties Inc,Celeste,Vezina,555 River St,Mattapan,MA,2126,Female,Mediterranean,Suffolk,Mattapan Square,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,7499.5,A,91,37500.0,42.267009,-71.095855,Verified,5.0
2283,3512,Malu Solutions,Maynor,Galvez,190 Marion St,East Boston,MA,2128,Male,Hispanic,Suffolk,Central Maverick Square-Paris Street,573117,Electronic Equipment & Supplies-Retail,443142,Electronic Stores,1 to 4,1,"Less Than $500,000","$366,000",Private,Single Loc,1999.5,C,74,5000.0,42.375766999999996,-71.03514100000001,Verified,2.5
2284,3513,Mama Blanca Restaurant,,,1045 Saratoga St,East Boston,MA,2128,,Uncoded,Suffolk,Harbor View-Orient Heights,581208,Restaurants,722511,Full-Service Restaurants,5 to 9,8,"$500,000-1 Million","$598,000",Private,Single Loc,3749.5,A,91,37500.0,42.385954,-71.005144,Verified,10.0
2285,3515,Mandela Homes Clc,Osayi,Erhabor,10 Hammond St,Roxbury,MA,2120,Male,African American,Suffolk,Lower Roxbury,824301,Computer Training,611420,Computer Training,1 to 4,1,"Less Than $500,000","$225,000",Private,Single Loc,3749.5,C+,75,17500.0,42.33439,-71.082475,Verified,4.67
2286,3516,Mandela Residents Co-Op Assoc,,,1855 Washington St # 3,Roxbury,MA,2118,,Uncoded,Suffolk,Lower Roxbury,861102,Associations,813910,Business Associations,1 to 4,2,,$0,Private,Single Loc,3749.5,I,79,17500.0,42.335327,-71.078901,Verified,4.67
2287,3517,Manderz Top Stylist,Amanda A,Sutton,110 Howland St,Dorchester,MA,2121,Female,Western Europe,Suffolk,,723106,Beauty Salons,812112,Beauty Salons,1 to 4,3,"Less Than $500,000","$170,000",Private,Single Loc,750.0,C+,76,5000.0,42.314261,-71.089926,Verified,6.67
2288,3518,Maneikis Co,Charles J,Maneikis Jr,1722 Dorchester Ave,Dorchester,MA,2124,Male,Uncoded,Suffolk,St. Marks,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,1 to 4,1,"Less Than $500,000","$183,000",Private,Single Loc,1999.5,B+,86,5000.0,42.291228000000004,-71.062713,Verified,2.5
2289,3522,Manor Limousine,Adam G,Hundesa,776 Shawmut Ave # 12,Roxbury,MA,2119,Male,Uncoded,Suffolk,Lower Roxbury,411903,Limousine Service,485320,Limousine Service,5 to 9,5,"$500,000-1 Million","$501,000",Private,Single Loc,3749.5,B,81,17500.0,42.331446,-71.084276,Verified,4.67
2290,3524,Maple Commons,,,21 Nazing St,Dorchester,MA,2121,,Uncoded,Suffolk,Washington Park,651303,Apartments,531110,Lessors Of Residential Buildings & Dwellings,5 to 9,5,$2.5-5 Million,"$4,619,000",Private,Single Loc,14999.5,B+,85,75000.0,42.306688,-71.08551700000001,Verified,5.0
2291,3525,Maps,,,1 Stoughton St,Dorchester,MA,2125,,Uncoded,Suffolk,Uphams Corner-Jones Hill,596104,E-Commerce,454110,Electronic Shopping & Mail-Order Houses,1 to 4,4,$2.5-5 Million,"$2,827,000",Private,Single Loc,3749.5,B+,88,37500.0,42.316756,-71.064948,Verified,10.0
2292,3526,Marcelin Cleaning,,,12 Brockton St,Mattapan,MA,2126,,Uncoded,Suffolk,Southern Mattapan,734902,Janitor Service,561720,Janitorial Services,5 to 9,5,"$500,000-1 Million","$662,000",Private,Single Loc,1999.5,C+,78,5000.0,42.271175,-71.099029,Verified,2.5
